code	term	range	group
9012/0	Pericanalicular fibroadenoma	900-903	Fibroepithelial neoplasms
9013/0	Adenofibroma, NOS	900-903	Fibroepithelial neoplasms
9014/0	Serous adenofibroma, NOS	900-903	Fibroepithelial neoplasms
9014/1	Serous adenofibroma of borderline malignancy	900-903	Fibroepithelial neoplasms
9014/3	Serous adenocarcinofibroma	900-903	Fibroepithelial neoplasms
9015/0	Mucinous adenofibroma, NOS	900-903	Fibroepithelial neoplasms
9015/1	Mucinous adenofibroma of borderline malignancy	900-903	Fibroepithelial neoplasms
9015/3	Mucinous adenocarcinofibroma	900-903	Fibroepithelial neoplasms
9016/0	Giant fibroadenoma	900-903	Fibroepithelial neoplasms
9020/0	Phyllodes tumor, benign	900-903	Fibroepithelial neoplasms
9020/1	Phyllodes tumor, borderline	900-903	Fibroepithelial neoplasms
9020/3	Phyllodes tumor, malignant	900-903	Fibroepithelial neoplasms
9030/0	Juvenile fibroadenoma	900-903	Fibroepithelial neoplasms
9040/0	Synovioma, benign	904	Synovial-like neoplasms
9040/3	Synovial sarcoma, NOS	904	Synovial-like neoplasms
9041/3	Synovial sarcoma, spindle cell	904	Synovial-like neoplasms
9042/3	Synovial sarcoma, epithelioid cell	904	Synovial-like neoplasms
9043/3	Synovial sarcoma, biphasic	904	Synovial-like neoplasms
9044/3	Clear cell sarcoma, NOS	904	Synovial-like neoplasms
9045/3	Biphenotypic sinonasal sarcoma	904	Synovial-like neoplasms
9050/0	Mesothelioma, benign	905	Mesothelial neoplasms
9050/3	Mesothelioma, malignant	905	Mesothelial neoplasms
9051/0	Fibrous mesothelioma, benign	905	Mesothelial neoplasms
9051/3	Fibrous mesothelioma, malignant	905	Mesothelial neoplasms
9052/0	Epithelioid mesothelioma, benign	905	Mesothelial neoplasms
9052/1	Well differentiated papillary mesothelioma of the pleura	905	Mesothelial neoplasms
9052/3	Epithelioid mesothelioma, malignant	905	Mesothelial neoplasms
9053/3	Mesothelioma, biphasic, malignant	905	Mesothelial neoplasms
9054/0	Adenomatoid tumor, NOS	905	Mesothelial neoplasms
9055/0	Peritoneal inclusion cysts	905	Mesothelial neoplasms
9060/3	Dysgerminoma	906-909	Germ cell neoplasms
9061/3	Seminoma, NOS	906-909	Germ cell neoplasms
9062/3	Seminoma, anaplastic	906-909	Germ cell neoplasms
9063/3	Spermatocytic seminoma	906-909	Germ cell neoplasms
9064/2	Intratubular malignant germ cells	906-909	Germ cell neoplasms
9064/3	Germinoma	906-909	Germ cell neoplasms
9065/3	Germ cell tumor, nonseminomatous	906-909	Germ cell neoplasms
9070/3	Embryonal carcinoma, NOS	906-909	Germ cell neoplasms
9071/3	Yolk sac tumor, NOS	906-909	Germ cell neoplasms
9072/3	Polyembryoma	906-909	Germ cell neoplasms
9073/1	Gonadoblastoma	906-909	Germ cell neoplasms
9080/0	Teratoma, benign	906-909	Germ cell neoplasms
9080/1	Teratoma, NOS	906-909	Germ cell neoplasms
9080/3	Teratoma, malignant, NOS	906-909	Germ cell neoplasms
9081/3	Teratocarcinoma	906-909	Germ cell neoplasms
9082/3	Malignant teratoma, undifferentiated	906-909	Germ cell neoplasms
9083/3	Malignant teratoma, intermediate	906-909	Germ cell neoplasms
9084/0	Dermoid cyst, NOS	906-909	Germ cell neoplasms
9084/3	Teratoma with malignant transformation	906-909	Germ cell neoplasms
9085/3	Mixed germ cell tumor	906-909	Germ cell neoplasms
9086/3	Germ cell tumor with associated hematological malignancy	906-909	Germ cell neoplasms
9090/0	Struma ovarii, NOS	906-909	Germ cell neoplasms
9090/3	Struma ovarii, malignant	906-909	Germ cell neoplasms
9091/1	Strumal carcinoid	906-909	Germ cell neoplasms
9100/0	Hydatidiform mole, NOS	910	Trophoblastic neoplasms
9100/1	Invasive hydatidiform mole	910	Trophoblastic neoplasms
9100/3	Choriocarcinoma, NOS	910	Trophoblastic neoplasms
9101/3	Choriocarcinoma combined with other germ cell elements	910	Trophoblastic neoplasms
9102/3	Malignant teratoma, trophoblastic	910	Trophoblastic neoplasms
9103/0	Partial hydatidiform mole	910	Trophoblastic neoplasms
9104/1	Placental site trophoblastic tumor	910	Trophoblastic neoplasms
9105/3	Trophoblastic tumor, epithelioid	910	Trophoblastic neoplasms
9110/0	Adenoma of rete ovarii	911	Mesonephromas
9110/1	Wolffian tumor	911	Mesonephromas
9110/3	Mesonephroma, malignant	911	Mesonephromas
9120/0	Hemangioma, NOS	912-916	Blood vessel tumors
9120/3	Hemangiosarcoma	912-916	Blood vessel tumors
9121/0	Cavernous hemangioma	912-916	Blood vessel tumors
9122/0	Venous hemangioma	912-916	Blood vessel tumors
9123/0	Racemose hemangioma	912-916	Blood vessel tumors
9124/3	Kupffer cell sarcoma	912-916	Blood vessel tumors
9125/0	Epithelioid hemangioma	912-916	Blood vessel tumors
9126/0	Atypical vascular lesion	912-916	Blood vessel tumors
9130/0	Hemangioendothelioma, benign	912-916	Blood vessel tumors
9130/1	Hemangioendothelioma, NOS	912-916	Blood vessel tumors
9130/3	Hemangioendothelioma, malignant	912-916	Blood vessel tumors
9131/0	Capillary hemangioma	912-916	Blood vessel tumors
9132/0	Intramuscular hemangioma	912-916	Blood vessel tumors
9133/3	Epithelioid hemangioendothelioma, NOS	912-916	Blood vessel tumors
9135/1	Papillary intralymphatic angioendothelioma	912-916	Blood vessel tumors
9136/1	Spindle cell hemangioendothelioma	912-916	Blood vessel tumors
9137/0	Myointimoma	912-916	Blood vessel tumors
9137/3	Intimal sarcoma	912-916	Blood vessel tumors
9138/1	Pseudomyogenic (epithelioid sarcoma-like) hemangioendothelioma	912-916	Blood vessel tumors
9140/3	Kaposi sarcoma	912-916	Blood vessel tumors
9141/0	Angiokeratoma	912-916	Blood vessel tumors
9142/0	Verrucous keratotic hemangioma	912-916	Blood vessel tumors
9160/0	Angiofibroma, NOS	912-916	Blood vessel tumors
9161/0	Acquired tufted hemangioma	912-916	Blood vessel tumors
9161/1	Hemangioblastoma	912-916	Blood vessel tumors
9170/0	Lymphangioma, NOS	917	Lymphatic vessel tumors
9170/3	Lymphangiosarcoma	917	Lymphatic vessel tumors
9171/0	Capillary lymphangioma	917	Lymphatic vessel tumors
9172/0	Cavernous lymphangioma	917	Lymphatic vessel tumors
9173/0	Cystic lymphangioma	917	Lymphatic vessel tumors
9174/0	Lymphangiomyoma	917	Lymphatic vessel tumors
9174/1	Lymphangioleiomyomatosis	917	Lymphatic vessel tumors
9175/0	Hemolymphangioma	917	Lymphatic vessel tumors
9180/0	Osteoma, NOS	918-924	Osseous and chondromatous neoplasms
9180/3	Osteosarcoma, NOS	918-924	Osseous and chondromatous neoplasms
9181/3	Chondroblastic osteosarcoma	918-924	Osseous and chondromatous neoplasms
9182/3	Fibroblastic osteosarcoma	918-924	Osseous and chondromatous neoplasms
9183/3	Telangiectatic osteosarcoma	918-924	Osseous and chondromatous neoplasms
9184/3	Osteosarcoma in Paget disease of bone	918-924	Osseous and chondromatous neoplasms
9185/3	Small cell osteosarcoma	918-924	Osseous and chondromatous neoplasms
9186/3	Central osteosarcoma, NOS	918-924	Osseous and chondromatous neoplasms
9187/3	Low grade central osteosarcoma	918-924	Osseous and chondromatous neoplasms
9191/0	Osteoid osteoma, NOS	918-924	Osseous and chondromatous neoplasms
9192/3	Parosteal osteosarcoma	918-924	Osseous and chondromatous neoplasms
9193/3	Periosteal osteosarcoma	918-924	Osseous and chondromatous neoplasms
9194/3	High grade surface osteosarcoma	918-924	Osseous and chondromatous neoplasms
9195/3	Intracortical osteosarcoma	918-924	Osseous and chondromatous neoplasms
9200/0	Osteoblastoma, NOS	918-924	Osseous and chondromatous neoplasms
9200/1	Aggressive osteoblastoma	918-924	Osseous and chondromatous neoplasms
9210/0	Osteochondroma	918-924	Osseous and chondromatous neoplasms
9210/1	Osteochondromatosis, NOS	918-924	Osseous and chondromatous neoplasms
9211/0	Osteochondromyxoma	918-924	Osseous and chondromatous neoplasms
9212/0	Bizarre parosteal osteochondromatous proliferation	918-924	Osseous and chondromatous neoplasms
9213/0	Subungual exostosis	918-924	Osseous and chondromatous neoplasms
9220/0	Chondroma, NOS	918-924	Osseous and chondromatous neoplasms
9220/1	Chondromatosis, NOS	918-924	Osseous and chondromatous neoplasms
9220/3	Chondrosarcoma, NOS	918-924	Osseous and chondromatous neoplasms
9221/0	Periosteal chondroma	918-924	Osseous and chondromatous neoplasms
9221/3	Periosteal chondrosarcoma	918-924	Osseous and chondromatous neoplasms
9222/1	Atypical cartilaginous tumor	918-924	Osseous and chondromatous neoplasms
9230/1	Chondroblastoma, NOS	918-924	Osseous and chondromatous neoplasms
9230/3	Chondroblastoma, malignant	918-924	Osseous and chondromatous neoplasms
9231/3	Myxoid chondrosarcoma	918-924	Osseous and chondromatous neoplasms
9240/3	Mesenchymal chondrosarcoma	918-924	Osseous and chondromatous neoplasms
9241/0	Chondromyxoid fibroma	918-924	Osseous and chondromatous neoplasms
9242/3	Clear cell chondrosarcoma	918-924	Osseous and chondromatous neoplasms
9243/3	Dedifferentiated chondrosarcoma	918-924	Osseous and chondromatous neoplasms
9250/1	Giant cell tumor of bone, NOS	925	Giant cell tumors
9250/3	Giant cell tumor of bone, malignant	925	Giant cell tumors
9251/1	Giant cell tumor of soft parts, NOS	925	Giant cell tumors
9251/3	Malignant giant cell tumor of soft parts	925	Giant cell tumors
9252/0	Tenosynovial giant cell tumor, NOS	925	Giant cell tumors
9252/1	Tenosynovial giant cell tumor, diffuse	925	Giant cell tumors
9252/3	Malignant tenosynovial giant cell tumor	925	Giant cell tumors
9260/0	Aneurysmal bone cyst	926	Miscellaneous bone tumors
9261/3	Adamantinoma of long bones	926	Miscellaneous bone tumors
9262/0	Ossifying fibroma	926	Miscellaneous bone tumors
9270/0	Odontogenic tumor, benign	927-934	Odontogenic tumors
9270/1	Odontogenic tumor, NOS	927-934	Odontogenic tumors
9270/3	Odontogenic tumor, malignant	927-934	Odontogenic tumors
9271/0	Ameloblastic fibrodentinoma	927-934	Odontogenic tumors
9272/0	Cementoma, NOS	927-934	Odontogenic tumors
9273/0	Cementoblastoma, benign	927-934	Odontogenic tumors
9274/0	Cemento-ossifying fibroma	927-934	Odontogenic tumors
9275/0	Gigantiform cementoma	927-934	Odontogenic tumors
9280/0	Odontoma, NOS	927-934	Odontogenic tumors
9281/0	Compound odontoma	927-934	Odontogenic tumors
9282/0	Complex odontoma	927-934	Odontogenic tumors
9290/0	Ameloblastic fibro-odontoma	927-934	Odontogenic tumors
9290/3	Ameloblastic odontosarcoma	927-934	Odontogenic tumors
9300/0	Adenomatoid odontogenic tumor	927-934	Odontogenic tumors
9301/0	Calcifying odontogenic cyst	927-934	Odontogenic tumors
9302/0	Dentinogenic ghost cell tumor	927-934	Odontogenic tumors
9302/3	Ghost cell odontogenic carcinoma	927-934	Odontogenic tumors
9310/0	Ameloblastoma, NOS	927-934	Odontogenic tumors
9310/3	Ameloblastoma, metastasizing	927-934	Odontogenic tumors
9311/0	Odontoameloblastoma	927-934	Odontogenic tumors
9312/0	Squamous odontogenic tumor	927-934	Odontogenic tumors
9320/0	Odontogenic myxoma	927-934	Odontogenic tumors
9321/0	Odontogenic fibroma, NOS	927-934	Odontogenic tumors
9322/0	Peripheral odontogenic fibroma	927-934	Odontogenic tumors
9330/0	Ameloblastic fibroma	927-934	Odontogenic tumors
9330/3	Ameloblastic fibrosarcoma	927-934	Odontogenic tumors
9340/0	Calcifying epithelial odontogenic tumor	927-934	Odontogenic tumors
9341/3	Clear cell odontogenic carcinoma	927-934	Odontogenic tumors
9342/3	Odontogenic carcinosarcoma	927-934	Odontogenic tumors
9350/1	Craniopharyngioma	935-937	Miscellaneous tumors
9351/1	Craniopharyngioma, adamantinomatous	935-937	Miscellaneous tumors
9352/1	Craniopharyngioma, papillary	935-937	Miscellaneous tumors
9360/1	Pinealoma	935-937	Miscellaneous tumors
9361/1	Pineocytoma	935-937	Miscellaneous tumors
9362/3	Pineoblastoma	935-937	Miscellaneous tumors
9363/0	Melanotic neuroectodermal tumor	935-937	Miscellaneous tumors
9364/3	Ewing sarcoma	935-937	Miscellaneous tumors
9365/3	Askin tumor	935-937	Miscellaneous tumors
9370/0	Benign notochordal tumor	935-937	Miscellaneous tumors
9370/3	Chordoma, NOS	935-937	Miscellaneous tumors
9371/3	Chondroid chordoma	935-937	Miscellaneous tumors
9372/3	Dedifferentiated chordoma	935-937	Miscellaneous tumors
9373/0	Parachordoma	935-937	Miscellaneous tumors
9380/3	Glioma, malignant	938-948	Gliomas
9381/3	Gliomatosis cerebri	938-948	Gliomas
9382/3	Oligoastrocytoma, NOS	938-948	Gliomas
9383/1	Subependymoma	938-948	Gliomas
9384/1	Subependymal giant cell astrocytoma	938-948	Gliomas
9385/3	Diffuse midline glioma, H3 K27M-mutant	938-948	Gliomas
9390/0	Choroid plexus papilloma, NOS	938-948	Gliomas
9390/1	Atypical choroid plexus papilloma	938-948	Gliomas
9390/3	Choroid plexus carcinoma	938-948	Gliomas
9391/1	Sellar ependymoma	938-948	Gliomas
9391/3	Ependymoma, NOS	938-948	Gliomas
9392/3	Ependymoma, anaplastic	938-948	Gliomas
9393/3	Papillary ependymoma	938-948	Gliomas
9394/1	Myxopapillary ependymoma	938-948	Gliomas
9395/3	Papillary tumor of the pineal region	938-948	Gliomas
9396/3	Ependymoma, RELA fusion-positive	938-948	Gliomas
9400/3	Astrocytoma, NOS	938-948	Gliomas
9401/3	Astrocytoma, anaplastic	938-948	Gliomas
9410/3	Protoplasmic astrocytoma	938-948	Gliomas
9411/3	Gemistocytic astrocytoma, NOS	938-948	Gliomas
9412/1	Desmoplastic infantile astrocytoma	938-948	Gliomas
9413/0	Dysembryoplastic neuroepithelial tumor	938-948	Gliomas
9420/3	Fibrillary astrocytoma	938-948	Gliomas
9421/1	Pilocytic astrocytoma	938-948	Gliomas
9423/3	Polar spongioblastoma	938-948	Gliomas
9424/3	Pleomorphic xanthoastrocytoma	938-948	Gliomas
9425/3	Pilomyxoid astrocytoma	938-948	Gliomas
9430/3	Astroblastoma	938-948	Gliomas
9431/1	Angiocentric glioma	938-948	Gliomas
9432/1	Pituicytoma	938-948	Gliomas
9440/3	Glioblastoma, NOS	938-948	Gliomas
9441/3	Giant cell glioblastoma	938-948	Gliomas
9442/1	Gliofibroma	938-948	Gliomas
9442/3	Gliosarcoma	938-948	Gliomas
9444/1	Chordoid glioma	938-948	Gliomas
9445/3	Glioblastoma, IDH-mutant	938-948	Gliomas
9450/3	Oligodendroglioma, NOS	938-948	Gliomas
9451/3	Oligodendroglioma, anaplastic, NOS	938-948	Gliomas
9460/3	Oligodendroblastoma	938-948	Gliomas
9470/3	Medulloblastoma, NOS	938-948	Gliomas
9471/3	Desmoplastic nodular medulloblastoma	938-948	Gliomas
9472/3	Medullomyoblastoma	938-948	Gliomas
9473/3	CNS embryonal tumor, NOS	938-948	Gliomas
9474/3	Large cell medulloblastoma	938-948	Gliomas
9475/3	Medullobloastoma, WNT-activated, NOS	938-948	Gliomas
9476/3	Medulloblastoma, SHH-activated and TP53-mutant	938-948	Gliomas
9477/3	Medulloblastoma, non-WNT/non-SHH	938-948	Gliomas
9478/3	Embryonal tumor with multilayered rosettes with C19MC alteration	938-948	Gliomas
9480/3	Cerebellar sarcoma, NOS	938-948	Gliomas
9490/0	Ganglioneuroma	949-952	Neuroepitheliomatous neoplasms
9490/3	Ganglioneuroblastoma	949-952	Neuroepitheliomatous neoplasms
9491/0	Ganglioneuromatosis	949-952	Neuroepitheliomatous neoplasms
9492/0	Gangliocytoma, NOS	949-952	Neuroepitheliomatous neoplasms
9493/0	Dysplastic gangliocytoma of cerebellum (Lhermitte-Duclos)	949-952	Neuroepitheliomatous neoplasms
9500/3	Neuroblastoma, NOS	949-952	Neuroepitheliomatous neoplasms
9501/0	Medulloepithelioma, benign	949-952	Neuroepitheliomatous neoplasms
9501/3	Medulloepithelioma, NOS	949-952	Neuroepitheliomatous neoplasms
9502/0	Teratoid medulloepithelioma, benign	949-952	Neuroepitheliomatous neoplasms
9502/3	Teratoid medulloepithelioma, NOS	949-952	Neuroepitheliomatous neoplasms
9503/3	Neuroepithelioma, NOS	949-952	Neuroepitheliomatous neoplasms
9504/3	Spongioneuroblastoma	949-952	Neuroepitheliomatous neoplasms
9505/1	Ganglioglioma, NOS	949-952	Neuroepitheliomatous neoplasms
9505/3	Ganglioglioma, anaplastic	949-952	Neuroepitheliomatous neoplasms
9506/1	Central neurocytoma	949-952	Neuroepitheliomatous neoplasms
9507/0	Pacinian tumor	949-952	Neuroepitheliomatous neoplasms
9508/3	Atypical teratoid/rhabdoid tumor	949-952	Neuroepitheliomatous neoplasms
9509/1	Papillary glioneuronal tumor	949-952	Neuroepitheliomatous neoplasms
9510/0	Retinocytoma	949-952	Neuroepitheliomatous neoplasms
9510/3	Retinoblastoma, NOS	949-952	Neuroepitheliomatous neoplasms
9511/3	Retinoblastoma, differentiated	949-952	Neuroepitheliomatous neoplasms
9512/3	Retinoblastoma, undifferentiated	949-952	Neuroepitheliomatous neoplasms
9513/3	Retinoblastoma, diffuse	949-952	Neuroepitheliomatous neoplasms
9514/1	Retinoblastoma, spontaneously regressed	949-952	Neuroepitheliomatous neoplasms
9520/3	Olfactory neurogenic tumor	949-952	Neuroepitheliomatous neoplasms
9521/3	Olfactory neurocytoma	949-952	Neuroepitheliomatous neoplasms
9522/3	Olfactory neuroblastoma	949-952	Neuroepitheliomatous neoplasms
9523/3	Olfactory neuroepithelioma	949-952	Neuroepitheliomatous neoplasms
9530/0	Meningioma, NOS	953	Meningiomas
9530/3	Meningioma, malignant	953	Meningiomas
9531/0	Meningothelial meningioma	953	Meningiomas
9532/0	Fibrous meningioma	953	Meningiomas
9533/0	Psammomatous meningioma	953	Meningiomas
9534/0	Angiomatous meningioma	953	Meningiomas
9535/0	Hemangioblastic meningioma	953	Meningiomas
9537/0	Transitional meningioma	953	Meningiomas
9538/1	Clear cell meningioma	953	Meningiomas
9538/3	Papillary meningioma	953	Meningiomas
9539/1	Atypical meningioma	953	Meningiomas
9539/3	Meningeal sarcomatosis	953	Meningiomas
9540/0	Neurofibroma, NOS	954-957	Nerve sheath tumors
9540/3	Malignant peripheral nerve sheath tumor, NOS	954-957	Nerve sheath tumors
9541/0	Melanotic neurofibroma	954-957	Nerve sheath tumors
9542/3	Malignant peripheral nerve sheath tumor, epithelioid	954-957	Nerve sheath tumors
9550/0	Plexiform neurofibroma	954-957	Nerve sheath tumors
9560/0	Schwannoma, NOS	954-957	Nerve sheath tumors
9560/1	Melanotic schwannoma	954-957	Nerve sheath tumors
9560/3	Neurilemoma, malignant	954-957	Nerve sheath tumors
9561/3	Malignant peripheral nerve sheath tumor with rhabdomyoblastic differentiation	954-957	Nerve sheath tumors
9562/0	Nerve sheath myxoma	954-957	Nerve sheath tumors
9563/0	Nerve sheath tumor, NOS	954-957	Nerve sheath tumors
9570/0	Neuroma, NOS	954-957	Nerve sheath tumors
9571/0	Perineurioma, NOS	954-957	Nerve sheath tumors
9571/3	Perineurioma, malignant	954-957	Nerve sheath tumors
9580/0	Granular cell tumor, NOS	958	Granular cell tumors and alveolar soft part sarcomas
9580/3	Granular cell tumor, malignant	958	Granular cell tumors and alveolar soft part sarcomas
9581/3	Alveolar soft part sarcoma	958	Granular cell tumors and alveolar soft part sarcomas
9582/0	Granular cell tumor of the sellar region	958	Granular cell tumors and alveolar soft part sarcomas
9590/3	Malignant lymphoma, NOS	959-972	Hodgkin and non-Hodgkin lymphomas
9591/1	Monoclonal B-cell lymphocytosis, NOS	959-972	Hodgkin and non-Hodgkin lymphomas
9591/3	Malignant lymphoma, non-Hodgkin, NOS	959-972	Hodgkin and non-Hodgkin lymphomas
9596/3	Composite Hodgkin and non-Hodgkin lymphoma	959-972	Hodgkin and non-Hodgkin lymphomas
9597/3	Primary cutaneous follicle centre lymphoma	959-972	Hodgkin and non-Hodgkin lymphomas
9650/3	Hodgkin lymphoma, NOS	959-972	Hodgkin and non-Hodgkin lymphomas
9651/3	Hodgkin lymphoma, lymphocyte-rich	959-972	Hodgkin and non-Hodgkin lymphomas
9652/3	Hodgkin lymphoma, mixed cellularity, NOS	959-972	Hodgkin and non-Hodgkin lymphomas
9653/3	Hodgkin lymphoma, lymphocyte depletion, NOS	959-972	Hodgkin and non-Hodgkin lymphomas
9654/3	Hodgkin lymphoma, lymphocyte depletion, diffuse fibrosis	959-972	Hodgkin and non-Hodgkin lymphomas
9655/3	Hodgkin lymphoma, lymphocyte depletion, reticular	959-972	Hodgkin and non-Hodgkin lymphomas
9659/3	Hodgkin lymphoma, nodular lymphocyte predominant	959-972	Hodgkin and non-Hodgkin lymphomas
9661/3	Hodgkin granuloma	959-972	Hodgkin and non-Hodgkin lymphomas
9662/3	Hodgkin sarcoma	959-972	Hodgkin and non-Hodgkin lymphomas
9663/3	Hodgkin lymphoma, nodular sclerosis, NOS	959-972	Hodgkin and non-Hodgkin lymphomas
9664/3	Hodgkin lymphoma, nodular sclerosis, cellular phase	959-972	Hodgkin and non-Hodgkin lymphomas
9665/3	Hodgkin lymphoma, nodular sclerosis, grade 1	959-972	Hodgkin and non-Hodgkin lymphomas
9667/3	Hodgkin lymphoma, nodular sclerosis, grade 2	959-972	Hodgkin and non-Hodgkin lymphomas
9671/3	Lymphoplasmacytic lymphoma	959-972	Hodgkin and non-Hodgkin lymphomas
9673/1	In situ mantle cell neoplasia	959-972	Hodgkin and non-Hodgkin lymphomas
9673/3	Mantle cell lymphoma	959-972	Hodgkin and non-Hodgkin lymphomas
9675/3	Malignant lymphoma, mixed small and large cell, diffuse	959-972	Hodgkin and non-Hodgkin lymphomas
9678/3	Primary effusion lymphoma	959-972	Hodgkin and non-Hodgkin lymphomas
9679/3	Mediastinal large B-cell lymphoma	959-972	Hodgkin and non-Hodgkin lymphomas
9680/1	EBV positive mucocutaneous ulcer	959-972	Hodgkin and non-Hodgkin lymphomas
9680/3	Diffuse large B-cell lymphoma, NOS	959-972	Hodgkin and non-Hodgkin lymphomas
9684/3	Malignant lymphoma, large B-cell, diffuse, immunoblastic, NOS	959-972	Hodgkin and non-Hodgkin lymphomas
9687/3	Burkitt lymphoma, NOS	959-972	Hodgkin and non-Hodgkin lymphomas
9688/3	T-cell/histiocyte rich large B-cell lymphoma	959-972	Hodgkin and non-Hodgkin lymphomas
9689/3	Splenic marginal zone B-cell lymphoma	959-972	Hodgkin and non-Hodgkin lymphomas
9690/3	Follicular lymphoma, NOS	959-972	Hodgkin and non-Hodgkin lymphomas
9691/3	Follicular lymphoma, grade 2	959-972	Hodgkin and non-Hodgkin lymphomas
9695/1	In situ follicular neoplasia	959-972	Hodgkin and non-Hodgkin lymphomas
9695/3	Follicular lymphoma, grade 1	959-972	Hodgkin and non-Hodgkin lymphomas
9698/3	Follicular lymphoma, grade 3	959-972	Hodgkin and non-Hodgkin lymphomas
9699/3	Marginal zone B-cell lymphoma, NOS	959-972	Hodgkin and non-Hodgkin lymphomas
9700/3	Mycosis fungoides	959-972	Hodgkin and non-Hodgkin lymphomas
9701/3	Sezary syndrome	959-972	Hodgkin and non-Hodgkin lymphomas
9702/1	Indolent T-cell lymphoproliferative disorder of the gastrointestinal tract	959-972	Hodgkin and non-Hodgkin lymphomas
9702/3	Mature T-cell lymphoma, NOS	959-972	Hodgkin and non-Hodgkin lymphomas
9705/3	Angioimmunoblastic T-cell lymphoma	959-972	Hodgkin and non-Hodgkin lymphomas
9708/3	Subcutaneous panniculitis-like T-cell lymphoma	959-972	Hodgkin and non-Hodgkin lymphomas
9709/1	Primary cutaneous CD4-positive small/medium T-cell lymphoproliferative disorder	959-972	Hodgkin and non-Hodgkin lymphomas
9709/3	Cutaneous T-cell lymphoma, NOS	959-972	Hodgkin and non-Hodgkin lymphomas
9712/3	Intravascular large B-cell lymphoma	959-972	Hodgkin and non-Hodgkin lymphomas
9714/3	Anaplastic large cell lymphoma, T-cell and Null-cell type	959-972	Hodgkin and non-Hodgkin lymphomas
9715/3	Anaplastic large cell lymphoma, ALK negative	959-972	Hodgkin and non-Hodgkin lymphomas
9716/3	Hepatosplenic T-cell lymphoma	959-972	Hodgkin and non-Hodgkin lymphomas
9717/3	Intestinal T-cell lymphoma	959-972	Hodgkin and non-Hodgkin lymphomas
9718/1	Primary cutaneous CD30+T-cell lymphoproliferative disorder	959-972	Hodgkin and non-Hodgkin lymphomas
9718/3	Primary cutaneous anaplastic large cell lymphoma	959-972	Hodgkin and non-Hodgkin lymphomas
9719/3	NK/T-cell lymphoma, nasal and nasal type	959-972	Hodgkin and non-Hodgkin lymphomas
9724/3	Systemic EBV positive T-cell lymphoproliferative disease of childhood	959-972	Hodgkin and non-Hodgkin lymphomas
9725/1	Hydroa vacciniforme-like lymphoproliferative disorder	959-972	Hodgkin and non-Hodgkin lymphomas
9726/3	Primary cutaneous gamma-delta T-cell lymphoma	959-972	Hodgkin and non-Hodgkin lymphomas
9727/3	Precursor cell lymphoblastic lymphoma, NOS	959-972	Hodgkin and non-Hodgkin lymphomas
9731/3	Plasmacytoma, NOS	973	Plasma cell neoplasms
9732/3	Plasma cell myeloma	973	Plasma cell neoplasms
9733/3	Plasma cell leukemia	973	Plasma cell neoplasms
9734/3	Plasmacytoma, extramedullary	973	Plasma cell neoplasms
9735/3	Plasmablastic lymphoma	973	Plasma cell neoplasms
9737/3	ALK positive large B-cell lymphoma	973	Plasma cell neoplasms
9738/3	HHV8-positive diffuse large B-cell lymphoma	973	Plasma cell neoplasms
9740/1	Mastocytoma, NOS	974	Mast cell neoplasms
9740/3	Mast cell sarcoma	974	Mast cell neoplasms
9741/1	Indolent systemic mastocytosis	974	Mast cell neoplasms
9741/3	Malignant mastocytosis	974	Mast cell neoplasms
9742/3	Mast cell leukemia	974	Mast cell neoplasms
9749/3	Erdheim-Chester disease	974	Mast cell neoplasms
9750/3	Malignant histiocytosis	975	Neoplasms of histiocytes and accessory lymphoid cells
9751/1	Langerhans cell histiocytosis, NOS	975	Neoplasms of histiocytes and accessory lymphoid cells
9751/3	Langerhans cell histiocytosis, disseminated	975	Neoplasms of histiocytes and accessory lymphoid cells
9755/3	Histiocytic sarcoma	975	Neoplasms of histiocytes and accessory lymphoid cells
9756/3	Langerhans cell sarcoma	975	Neoplasms of histiocytes and accessory lymphoid cells
9757/3	Interdigitating dendritic cell sarcoma	975	Neoplasms of histiocytes and accessory lymphoid cells
9758/3	Follicular dendritic cell sarcoma	975	Neoplasms of histiocytes and accessory lymphoid cells
9759/3	Fibroblastic reticular cell tumor	975	Neoplasms of histiocytes and accessory lymphoid cells
9760/3	Immunoproliferative disease, NOS	976	Immunoproliferative diseases
